% subtitles -> transcripts
% subtitles with mutliple speakers are counted multiple times,
% with increasing numbers in the left column
% (ie. numbers in left column don't correspond to subtitle numbers)
% 'x' indicates absent line in transcripts
% subtitles with absent text are ignored
1	0
2	x
3	0
4	1
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	x
15	x
16	3
17	4
18	5
19	5
20	5
21	6
22	6
23	7
24	8
25	8
26	8
27	8
28	9
29	9
30	10
31	10
32	x
33	x
34	x
34	x
35	11
36	11
37	11
38	12
39	12
40	13
41	14
42	14
43	15
44	15
45	x
46	16
47	17
48	18
49	18
50	18
51	18
52	18
53	19
54	20
55	21
56	22
57	22
58	22
59	23
60	23
61	23
62	x
62	x
63	24
63	25
64	26
65	27
66	28
66	29
67	30
68	31
69	31
70	31
71	32
72	32
73	33
74	33
75	33
76	34
77	35
78	35
79	35
80	35
81	36
82	36
83	37
84	37
85	38
86	38
87	38
88	38
89	39
90	39
91	40
92	40
93	41
94	42
95	43
96	43
97	43
98	43
99	43
100	43
101	43
102	44
103	45
104	45
105	45
106	45
107	45
108	45
109	45
110	45
111	45
112	45
113	45
114	45
115	45
116	46
117	47
118	x
119	48
120	49
120	50
121	50
121	51
122	52
123	52
124	52
125	52
126	52
127	52
128	52
129	52
130	53
131	54
132	54
133	55
134	56
135	56
136	56
137	57
138	57
139	57
140	57
141	58
142	59
143	59
144	x
145	60
145	61
146	61
147	62
148	62
149	63
150	64
151	64
152	64
153	65
153	66
154	66
155	66
156	66
157	67
157	68
158	68
159	68
160	69
161	70
162	71
163	72
164	72
165	72
166	73
167	73
168	74
169	75
170	76
171	76
172	76
173	76
174	76
175	76
176	76
177	77
178	77
179	77
180	77
181	77
182	77
183	78
184	79
185	79
186	79
187	79
189	81
190	81
191	82
192	82
193	83
194	83
195	84
196	85
197	86
197	87
198	87
199	88
200	89
201	90
202	91
203	91
204	91
205	91
206	91
207	92
208	92
209	92
210	93
211	93
212	93
213	93
214	x
215	94
216	94
217	95
218	96
219	96
220	97
220	x
221	98
222	98
223	99
224	x
225	100
226	100
227	100
228	101
229	102
230	102
231	102
232	102
233	102
234	103
234	104
235	104
236	104
237	104
238	105
239	106
240	106
241	106
242	106
243	107
244	107
245	108
246	108
247	109
248	109
249	110
250	110
251	111
252	112
253	113
253	114
254	114
255	114
256	114
257	114
258	115
259	116
260	116
261	117
262	117
263	117
264	118
265	118
266	118
266	119
267	119
268	120
269	120
270	120
271	x
272	x
273	x
274	x
275	121
276	121
277	121
278	122
279	122
280	122
281	122
282	122
283	123
284	124
285	25
286	126
287	126
288	126
289	126
290	126
291	127
292	128
293	128
294	128
295	128
296	128
297	128
298	128
299	128
300	128
301	128
302	128
303	128
304	129
305	130
306	130
307	130
308	131
309	132
310	132
311	132
312	132
313	132
314	x
315	x
316	133
317	133
318	134
319	135
320	135
321	135
322	135
322	136
323	x
324	137
325	137
326	138
327	138
328	x
329	x
330	139
331	140
332	141
333	141
334	142
335	142
335	143
336	143
336	x
337	143
338	143
338	144
339	144
340	x
340	x
341	145
342	x
342	145
343	x
344	x
345	146
346	146
347	146
348	146
349	147
350	x
351	x
352	x
352	x
353	x
354	x
355	x
355	x
356	x
356	x
357	x
358	x
359	x
360	x
361	148
361	149
362	150
363	151
364	151
364	152
365	153
366	154
367	155
368	155
369	155
370	155
371	155
372	156
373	156
374	156
374	157
375	158
376	158
377	159
378	159
379	160
380	161
381	162
382	163
383	163
384	164
385	165
386	166
387	167
388	x
389	x
390	168
391	169
392	169
393	169
394	170
395	171
396	171
397	171
398	172
398	173
399	173
400	173
401	174
402	174
403	174
404	174
