% subtitles -> transcripts
% subtitles with mutliple speakers are counted multiple times,
% with increasing numbers in the left column
% (ie. numbers in left column don't correspond to subtitle numbers)
% 'x' indicates absent line in transcripts
% subtitles with absent text are ignored
0	0
1	0
2	0
3	1
4	1
5	2
6	3
7	x
8	4
9	4
10	5
11	6
12	6
13	6
14	6
15	7
16	7
17	8
18	8
19	9
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	11
28	12
29	12
30	12
31	12
32	12
33	12
34	12
35	12
36	12
37	12
38	12
39	13
40	13
41	13
42	14
43	14
44	15
45	16
46	17
47	18
48	18
49	19
50	19
51	20
52	20
53	21
54	21
55	21
56	22
57	22
58	23
59	23
60	24
61	25
62	25
63	25
64	26
65	27
66	28
67	28
68	29
69	30
70	30
71	30
72	31
73	32
74	32
75	33
76	33
77	34
78	35
79	35
80	36
81	37
82	37
83	37
84	38
85	39
86	39
87	40
88	41
89	42
90	43
91	44
92	45
93	45
94	46
95	47
96	47
97	48
98	49
99	49
100	49
101	50
102	50
103	x
104	51
105	52
106	53
107	53
108	54
109	54
110	55
111	55
112	x
113	55
114	55
115	56
116	57
117	57
118	57
119	57
120	57
121	57
122	57
123	57
124	58
125	59
126	59
127	60
128	60
129	61
130	62
131	63
132	64
133	64
134	64
135	64
136	64
137	65
138	66
139	66
140	66
141	67
142	68
143	x
144	69
145	69
146	70
147	71
148	71
149	71
150	71
151	71
152	71
153	72
154	72
155	73
156	74
157	75
158	76
159	77
160	78
161	79
162	80
163	81
164	82
165	83
166	83
167	84
168	85
169	86
170	87
171	87
172	87
173	87
174	88
x	89
175	90
176	90
177	x
178	91
179	92
180	92
181	92
182	93
183	94
184	94
185	94
186	94
187	94
188	95
189	95
190	96
191	96
192	97
193	98
194	98
195	98
196	98
197	99
198	100
199	101
200	101
201	101
202	102
203	103
204	103
205	103
206	104
207	104
208	105
209	106
210	106
211	106
212	106
213	107
214	x
215	108
216	108
217	109
218	110
219	110
220	110
221	110
222	110
223	111
224	111
225	112
226	112
227	112
228	112
229	112
230	113
231	114
232	x
233	114
234	x
235	x
236	115
237	115
238	116
239	117
240	117
241	117
242	118
243	118
244	119
245	119
246	119
247	119
248	119
249	119
250	119
251	119
252	119
253	119
254	119
255	119
256	119
257	119
258	119
259	119
260	119
261	x
262	120
263	121
264	122
265	x
266	122
267	122
268	122
269	123
270	124
271	124
272	124
273	124
274	124
275	124
276	125
277	125
278	125
279	125
280	126
281	127
282	128
283	128
284	129
285	129
286	130
287	131
288	132
289	133
290	134
291	134
292	135
293	136
294	136
295	137
296	137
297	x
298	138
299	139
300	140
301	140
302	141
303	142
304	143
305	144
306	145
307	145
308	146
309	147
310	147
311	147
312	147
313	147
314	147
315	148
316	149
317	150
318	150
319	150
320	150
321	151
322	152
323	152
324	152
325	152
326	153
327	154
328	154
329	155
330	x
331	155
332	155
333	155
334	155
335	x
336	x
337	155
338	x
339	155
340	x
341	155
342	155
343	155
344	156
345	157
346	157
347	157
348	158
349	159
350	159
351	160
352	161
353	162
354	162
355	162
356	162
357	163
358	163
359	164
360	165
361	x
362	x
363	166
364	166
365	167
366	167
367	168
368	169
369	169
370	170
371	171
372	172
373	173
374	x
375	174
376	175
377	175
378	175
379	175
380	176
381	177
382	177
383	177
384	178
385	179
386	179
387	179
388	180
389	180
390	180
391	180
392	180
393	180
394	181
395	182
396	182
397	182
398	182
399	182
400	182
401	183
402	183
403	184
404	185
405	185
406	185
407	186
408	186
409	187
410	187
411	187
412	188
413	188
414	189
415	x
416	190
417	191
418	192
419	192
420	193
421	193
422	193
423	194
424	195
425	196
426	197
427	197
428	198
429	199
430	199
431	199
432	x
433	200
434	201
435	202
436	203
437	203
438	203
439	203
440	204
441	205
442	206
443	207
444	208
445	208
446	209
447	209
448	210
449	211
450	211
451	211
452	211
453	212
454	212
455	213
456	214
457	215
458	x
459	216
460	216
461	216
462	217
463	218
464	219
465	219
466	x
467	220
468	221
469	222
470	222
471	222
472	222
473	222
474	222
475	222
476	222
477	222
478	222
479	222
480	222
481	x
482	222
483	222
484	222
485	222
486	222
487	222
488	222
489	222
490	222
491	222
492	222
493	222
494	x
495	222
496	223
497	224
498	225
499	226
500	226
501	226
502	226
503	226
504	226
505	226
506	226
